Organization Name,"Andrew County's Community Service, Inc."
Organization ID,ACC
Project Name,B's Test Program 
Project ID,17892
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,"Andrew County's Community Service, Inc."
Organization ID,ACC
Project Name,Permanent Supportive Housing
Project ID,17891
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,_Gunners
Organization ID,ARS
Project Name,_HatTrick
Project ID,19700
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,_Gunners
Organization ID,ARS
Project Name,Football Camp
Project ID,19866
HMIS Project Type,10
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,19700
Organization Name,St. Brite
Organization ID,BND
Project Name,For BND
Project ID,3
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Customer Management
Organization ID,CM 
Project Name,APR - Transitional Housing
Project ID,19509
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Crossroads Safe House
Organization ID,CRS
Project Name,Rental Assistance
Project ID,17940
HMIS Project Type,5
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,SKR CSV Import
Organization ID,DCA
Project Name,SKR CSV TEST
Project ID,19837
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,211
Project ID,17918
HMIS Project Type,7
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,9099
Project ID,18047
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,aaHopwa Transitional
Project ID,17984
HMIS Project Type,13
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,ABC Transitional Housing
Project ID,19481
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,AC Test HMIS Program
Project ID,19585
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
